Advertiser,Date,Device,Type,First Seen,Last Seen,Link to Creative,Spend,Impressions
Andersen Corporation,5/1/2025,OTT,Video,5/6/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/172bc19bc78d8323/media,63251.8925,2520258
Andersen Corporation,5/1/2025,Facebook,Photo Post,5/18/2025,5/31/2025,https://s3.amazonaws.com/YM_Ads/-6922333164314037205.png,1981.5729,297395
Andersen Corporation,5/1/2025,Facebook,Photo Post,4/1/2025,5/31/2025,https://s3.amazonaws.com/YM_Ads/-3015083812086616722.png,281.0207,42176
Andersen Corporation,5/1/2025,Desktop Display,HTML5,1/24/2024,5/24/2025,https://s3.amazonaws.com/YM_Ads/3BugKjR_rVETMm4DpqmEKQ.png,248.5635,75809
Andersen Corporation,5/1/2025,OTT,Video,5/5/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/17a9c40bcd04e3b4/media,24422.2595,780152
Andersen Corporation,5/1/2025,OTT,Video,3/4/2025,5/8/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/65222ee8947e62de/media,12420.749,396775
Andersen Corporation,5/1/2025,YouTube,Video,1/11/2023,5/14/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/32e5744152672be7/media,50.1757,32462
Andersen Corporation,5/1/2025,OTT,Video,5/6/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/66237551e926c012/media,48885.3743,2045529
Andersen Corporation,5/1/2025,Desktop Display,HTML5,5/9/2025,5/27/2025,https://s3.amazonaws.com/YM_Ads/9LwdkIf1yhGz5GcyjURKQA.png,93.0096,9839
Andersen Corporation,5/1/2025,OTT,Video,3/12/2025,5/9/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/602ccbfaf623a820/media,2754.8721,115485
Andersen Corporation,5/1/2025,OTT,Video,4/23/2025,5/30/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/26c42ac7ab045278/media,12193.8843,511170
Andersen Corporation,5/1/2025,Mobile Display,Image,5/13/2025,5/31/2025,https://s3.amazonaws.com/YM_Ads/Vj_JH4piLf-EMwnApvmqlA.jpg,557.3445,112423
Andersen Corporation,5/1/2025,YouTube,Video,5/4/2025,5/26/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/96a8a465f07a1e8b/media,1420.071,183747
Andersen Corporation,5/1/2025,Instagram,Unknown Post Type,5/3/2025,5/27/2025,,989.8612,130370
Andersen Corporation,5/1/2025,Instagram,Unknown Post Type,1/13/2025,5/29/2025,,266.8911,35151
Andersen Corporation,5/1/2025,Mobile Display,HTML5,6/12/2024,5/14/2025,https://s3.amazonaws.com/YM_Ads/_EzAtarbbue_ElZyNJ9rXw.png,215.9707,24776
Andersen Corporation,5/1/2025,OTT,Video,4/11/2025,5/7/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0032b75ef85754b8/media,2315.3945,97062
Andersen Corporation,5/1/2025,Desktop Display,HTML5,2/14/2024,5/30/2025,https://s3.amazonaws.com/YM_Ads/_0puBvm-COxEBxbeMBE_FA.png,1566.1862,432990
Andersen Corporation,5/1/2025,Desktop Video,Video,4/21/2024,5/26/2025,https://s3.amazonaws.com/YM_Ads/9QMuhvdBNWE1F0YEy0IISQ.mp4,972.1729,151116
Andersen Corporation,5/1/2025,Instagram,Reel Post,4/14/2025,5/10/2025,,384.9616,50702
Andersen Corporation,5/1/2025,OTT,Video,5/7/2025,5/20/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/de1e5a4307f229a2/media,27698.8171,915723
Andersen Corporation,5/1/2025,YouTube,Video,5/27/2025,5/27/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0317596f4d437258/media,24.5799,15902
Andersen Corporation,5/1/2025,OTT,Video,3/9/2025,5/26/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/56a71b64a85fd950/media,3226.4945,131278
Andersen Corporation,5/1/2025,YouTube,Video,5/31/2025,5/31/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/865a3dbe286c6fea/media,263.5617,34104
Andersen Corporation,5/1/2025,OTT,Video,4/30/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/5d24ac6e8af9dbb5/media,3752.9242,79488
Andersen Corporation,5/1/2025,OTT,Video,5/6/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/a9f8323d424172c7/media,58792.4563,2297507
Andersen Corporation,5/1/2025,OTT,Video,5/28/2025,5/29/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/425ca937be548763/media,9797.3044,410705
Andersen Corporation,5/1/2025,OTT,Video,5/7/2025,5/30/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/7185fd9da29a9cd7/media,12313.3264,516177
Andersen Corporation,5/1/2025,YouTube,Video,5/6/2025,5/31/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/b1ed5e758a36881e/media,1097.7666,710213
Andersen Corporation,5/1/2025,YouTube,Video,1/23/2023,5/15/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/f2861e5caed95a19/media,128.0117,82819
Andersen Corporation,5/1/2025,Mobile Display,Image,3/6/2025,6/1/2025,https://s3.amazonaws.com/YM_Ads/CFBhO9wjJcYDu_qRbH_mew.gif,448.3014,17678
Andersen Corporation,5/1/2025,YouTube,Video,5/10/2025,5/27/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/7ea39b0406894291/media,150.7643,97538
Andersen Corporation,5/1/2025,OTT,Video,5/8/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0292a7a3b9689b64/media,22471.8094,925408
Andersen Corporation,5/1/2025,OTT,Video,4/29/2025,5/29/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/7e4951fe4046a956/media,9797.3044,410705
Andersen Corporation,5/1/2025,OTT,Video,4/25/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/5ec0b50144c8010c/media,6144.9546,257598
Andersen Corporation,5/1/2025,OTT,Video,4/25/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/7f26d0730f15a0e1/media,11104.6484,465508
Andersen Corporation,5/1/2025,OTT,Video,11/15/2022,5/14/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/bf951002365c9ef8/media,11261.3257,472076
Andersen Corporation,5/1/2025,Desktop Display,HTML5,4/17/2024,5/25/2025,https://s3.amazonaws.com/YM_Ads/MQirVgiTWb6SLRH_5KSM0w.png,365.2115,122626
Andersen Corporation,5/1/2025,OTT,Video,1/12/2023,5/30/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/412b4aff0d9e689c/media,27579.8503,986270
Andersen Corporation,5/1/2025,YouTube,Video,5/2/2025,5/13/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/db59b07b6a40f49a/media,50.7658,32843
Andersen Corporation,5/1/2025,OTT,Video,4/13/2025,5/12/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/c4af552155152edc/media,5946.2331,248587
Andersen Corporation,5/1/2025,YouTube,Video,5/4/2025,5/7/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/a87fa98abd462f58/media,53.225,34435
Andersen Corporation,5/1/2025,YouTube,Video,5/23/2025,5/23/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/57b2d36fb133e0b1/media,24.7657,16022
Andersen Corporation,5/1/2025,YouTube,Video,5/22/2025,5/24/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/1bc82f10830a7ef6/media,254.2954,32904
Andersen Corporation,5/1/2025,YouTube,Video,5/4/2025,5/29/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/02942f0af8cd7a46/media,614.7945,397750
Andersen Corporation,5/1/2025,YouTube,Video,4/17/2025,5/22/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/02c44d10f5c8ea5d/media,50.502,32673
Andersen Corporation,5/1/2025,Instagram,Reel Post,4/16/2025,5/28/2025,https://s3.amazonaws.com/YM_Ads/3375251472354851655.png,17303.4976,2278957
Andersen Corporation,5/1/2025,Instagram,Reel Post,5/17/2025,5/28/2025,,382.1161,50326
